Country GPSC_PoPUNK2 Sample_accession Lane_accession
THE GAMBIA 2 ERS745540 ERR1430838
THE GAMBIA 2 ERS745541 ERR1430839
THE GAMBIA 2 ERS745542 ERR1430840
THE GAMBIA 2 ERS745543 ERR1430841
THE GAMBIA 2 ERS745544 ERR1430842
THE GAMBIA 2 ERS745548 ERR1430846
THE GAMBIA 2 ERS745549 ERR1430847
THE GAMBIA 2 ERS745550 ERR1430848
THE GAMBIA 2 ERS745553 ERR1430851
THE GAMBIA 2 ERS745554 ERR1430852
THE GAMBIA 2 ERS745555 ERR1430853
THE GAMBIA 2 ERS745556 ERR1430854
THE GAMBIA 2 ERS745557 ERR1430855
THE GAMBIA 2 ERS745558 ERR1430856
THE GAMBIA 2 ERS745560 ERR1430858
THE GAMBIA 2 ERS745561 ERR1430859
THE GAMBIA 2 ERS745562 ERR1430860
THE GAMBIA 2 ERS745563 ERR1430861
THE GAMBIA 2 ERS745564 ERR1430862
THE GAMBIA 2 ERS745565 ERR1430863
THE GAMBIA 2 ERS745566 ERR1430864
THE GAMBIA 2 ERS745567 ERR1430865
THE GAMBIA 2 ERS745568 ERR1430866
THE GAMBIA 2 ERS745569 ERR1430867
THE GAMBIA 2 ERS745571 ERR1430869
THE GAMBIA 2 ERS745572 ERR1430870
THE GAMBIA 2 ERS745573 ERR1430871
THE GAMBIA 2 ERS745574 ERR1430872
THE GAMBIA 2 ERS745575 ERR1430873
THE GAMBIA 2 ERS745576 ERR1430874
THE GAMBIA 2 ERS745577 ERR1430875
THE GAMBIA 2 ERS745578 ERR1430876
THE GAMBIA 2 ERS745583 ERR1430881
THE GAMBIA 2 ERS745584 ERR1430882
THE GAMBIA 2 ERS745585 ERR1430883
THE GAMBIA 2 ERS745586 ERR1430884
THE GAMBIA 2 ERS745587 ERR1430885
THE GAMBIA 2 ERS745589 ERR1430887
THE GAMBIA 2 ERS811917 ERR1453285
THE GAMBIA 2 ERS812015 ERR1453441
THE GAMBIA 2 ERS812021 ERR1453447
THE GAMBIA 2 ERS812022 ERR1453448
THE GAMBIA 2 ERS1574392 ERR2089987
THE GAMBIA 2 ERS1574381 ERR2089976
THE GAMBIA 2 ERS1574389 ERR2089984
THE GAMBIA 2 ERS1222235 ERR1658069
THE GAMBIA 2 ERS1222341 ERR1658173
THE GAMBIA 2 ERS1222399 ERR1658223
THE GAMBIA 2 ERS1222425 ERR1658248
THE GAMBIA 2 ERS1813441 ERR2089155
THE GAMBIA 2 ERS1813491 ERR2089204
THE GAMBIA 2 ERS1813504 ERR2089216
THE GAMBIA 2 ERS1813527 ERR2089240
THE GAMBIA 2 ERS1813541 ERR2089254
THE GAMBIA 2 ERS1574391 ERR2089986
THE GAMBIA 2 ERS355809 ERR433814
THE GAMBIA 2 ERS355797 ERR433805
THE GAMBIA 2 ERS355806 ERR433812
THE GAMBIA 2 ERS355842 ERR438984
THE GAMBIA 2 ERS355794 ERR433802
THE GAMBIA 2 ERS242914 ERR352020
THE GAMBIA 2 ERS355787 ERR433799
THE GAMBIA 2 ERS355800 ERR433807
THE GAMBIA 2 ERS355802 ERR433809
THE GAMBIA 2 ERS355803 ERR467043
THE GAMBIA 2 ERS355834 ERR438982
THE GAMBIA 2 ERS355777 ERR433791
THE GAMBIA 2 ERS355880 ERR433846
THE GAMBIA 2 ERS355847 ERR438986
THE GAMBIA 2 ERS355862 ERR438994
THE GAMBIA 2 ERS355887 ERR433850
THE GAMBIA 2 ERS355882 ERR433847
THE GAMBIA 2 ERS355779 ERR433793
THE GAMBIA 2 ERS355873 ERR433841
THE GAMBIA 2 ERS355895 ERR433855
THE GAMBIA 2 ERS355875 ERR433964
THE GAMBIA 2 ERS355871 ERR433840
THE GAMBIA 2 ERS355872 ERR438999
THE GAMBIA 2 ERS355870 ERR438998
THE GAMBIA 2 ERS355891 ERR433853
THE GAMBIA 2 ERS355878 ERR433845
THE GAMBIA 2 ERS355848 ERR467045
THE GAMBIA 2 ERS355867 ERR433839
THE GAMBIA 2 ERS355850 ERR438988
THE GAMBIA 2 ERS355849 ERR438987
SOUTH AFRICA 2 ERS464642 ERR600619
SOUTH AFRICA 2 ERS464643 ERR600620
SOUTH AFRICA 2 ERS464660 ERR632977
SOUTH AFRICA 2 ERS464662 ERR632979
SOUTH AFRICA 2 ERS464673 ERR632990
SOUTH AFRICA 2 ERS464674 ERR632991
SOUTH AFRICA 2 ERS464699 ERR633016
SOUTH AFRICA 2 ERS464713 ERR633029
SOUTH AFRICA 2 ERS464717 ERR708301
SOUTH AFRICA 2 ERS464722 ERR633037
SOUTH AFRICA 2 ERS464724 ERR633039
SOUTH AFRICA 2 ERS464727 ERR633042
SOUTH AFRICA 2 ERS464733 ERR633048
SOUTH AFRICA 2 ERS464735 ERR633050
SOUTH AFRICA 2 ERS464745 ERR633060
SOUTH AFRICA 2 ERS464746 ERR633061
SOUTH AFRICA 2 ERS464748 ERR633063
SOUTH AFRICA 2 ERS464759 ERR633073
SOUTH AFRICA 2 ERS464776 ERR633090
SOUTH AFRICA 2 ERS464782 ERR633096
SOUTH AFRICA 2 ERS464790 ERR633104
SOUTH AFRICA 2 ERS464799 ERR633113
SOUTH AFRICA 2 ERS464845 ERR646570
SOUTH AFRICA 2 ERS464850 ERR646575
SOUTH AFRICA 2 ERS464857 ERR646582
SOUTH AFRICA 2 ERS464873 ERR646598
SOUTH AFRICA 2 ERS464874 ERR646599
SOUTH AFRICA 2 ERS508299 ERR730521
SOUTH AFRICA 2 ERS508328 ERR730538
SOUTH AFRICA 2 ERS508338 ERR730542
SOUTH AFRICA 2 ERS508341 ERR730543
SOUTH AFRICA 2 ERS508370 ERR730552
SOUTH AFRICA 2 ERS508482 ERR730587
SOUTH AFRICA 2 ERS508498 ERR730592
SOUTH AFRICA 2 ERS508513 ERR730597
SOUTH AFRICA 2 ERS508552 ERR730608
SOUTH AFRICA 2 ERS508556 ERR730609
SOUTH AFRICA 2 ERS508306 ERR701778
SOUTH AFRICA 2 ERS508311 ERR701781
SOUTH AFRICA 2 ERS508313 ERR701782
SOUTH AFRICA 2 ERS508337 ERR701793
SOUTH AFRICA 2 ERS508386 ERR701809
SOUTH AFRICA 2 ERS508423 ERR701821
SOUTH AFRICA 2 ERS508471 ERR701837
SOUTH AFRICA 2 ERS508499 ERR701846
SOUTH AFRICA 2 ERS508508 ERR701849
SOUTH AFRICA 2 ERS508526 ERR701855
SOUTH AFRICA 2 ERS508543 ERR701860
SOUTH AFRICA 2 ERS508419 ERR714475
SOUTH AFRICA 2 ERS508466 ERR714491
SOUTH AFRICA 2 ERS508497 ERR714502
SOUTH AFRICA 2 ERS508517 ERR714509
SOUTH AFRICA 2 ERS508534 ERR714515
SOUTH AFRICA 2 ERS508582 ERR730666
SOUTH AFRICA 2 ERS508600 ERR730684
SOUTH AFRICA 2 ERS508603 ERR730687
SOUTH AFRICA 2 ERS508651 ERR730708
SOUTH AFRICA 2 ERS508654 ERR730709
SOUTH AFRICA 2 ERS508667 ERR730714
SOUTH AFRICA 2 ERS508706 ERR730728
SOUTH AFRICA 2 ERS508715 ERR730731
SOUTH AFRICA 2 ERS508717 ERR730732
SOUTH AFRICA 2 ERS508728 ERR730736
SOUTH AFRICA 2 ERS508735 ERR730738
SOUTH AFRICA 2 ERS508758 ERR730747
SOUTH AFRICA 2 ERS508766 ERR730751
SOUTH AFRICA 2 ERS508769 ERR730752
SOUTH AFRICA 2 ERS508614 ERR714539
SOUTH AFRICA 2 ERS508620 ERR714541
SOUTH AFRICA 2 ERS508653 ERR714553
SOUTH AFRICA 2 ERS508700 ERR714568
SOUTH AFRICA 2 ERS508723 ERR714576
SOUTH AFRICA 2 ERS508734 ERR714580
SOUTH AFRICA 2 ERS508768 ERR714590
SOUTH AFRICA 2 ERS508771 ERR714591
SOUTH AFRICA 2 ERS508777 ERR714593
SOUTH AFRICA 2 ERS508810 ERR714607
SOUTH AFRICA 2 ERS508830 ERR714617
SOUTH AFRICA 2 ERS508835 ERR714620
SOUTH AFRICA 2 ERS508838 ERR714621
SOUTH AFRICA 2 ERS508846 ERR714625
SOUTH AFRICA 2 ERS508852 ERR714628
SOUTH AFRICA 2 ERS508855 ERR714630
SOUTH AFRICA 2 ERS508669 ERR730778
SOUTH AFRICA 2 ERS508675 ERR730780
SOUTH AFRICA 2 ERS508813 ERR730826
SOUTH AFRICA 2 ERS508815 ERR730827
SOUTH AFRICA 2 ERS508817 ERR730828
SOUTH AFRICA 2 ERS508823 ERR730831
SOUTH AFRICA 2 ERS508865 ERR730854
SOUTH AFRICA 2 ERS508867 ERR714633
SOUTH AFRICA 2 ERS508868 ERR714634
SOUTH AFRICA 2 ERS508869 ERR714635
SOUTH AFRICA 2 ERS508870 ERR714636
SOUTH AFRICA 2 ERS509143 ERR714648
SOUTH AFRICA 2 ERS509144 ERR714649
SOUTH AFRICA 2 ERS509154 ERR714658
SOUTH AFRICA 2 ERS509156 ERR714660
SOUTH AFRICA 2 ERS509158 ERR714662
SOUTH AFRICA 2 ERS509159 ERR714663
SOUTH AFRICA 2 ERS508874 ERR714666
SOUTH AFRICA 2 ERS508876 ERR714668
SOUTH AFRICA 2 ERS508888 ERR714680
SOUTH AFRICA 2 ERS508902 ERR714694
SOUTH AFRICA 2 ERS508920 ERR714712
SOUTH AFRICA 2 ERS508961 ERR730872
SOUTH AFRICA 2 ERS508965 ERR730874
SOUTH AFRICA 2 ERS508971 ERR730877
SOUTH AFRICA 2 ERS508979 ERR730881
SOUTH AFRICA 2 ERS508992 ERR730888
SOUTH AFRICA 2 ERS509002 ERR730893
SOUTH AFRICA 2 ERS509043 ERR730914
SOUTH AFRICA 2 ERS509047 ERR730916
SOUTH AFRICA 2 ERS509055 ERR730920
SOUTH AFRICA 2 ERS509063 ERR730924
SOUTH AFRICA 2 ERS508937 ERR736903
SOUTH AFRICA 2 ERS508960 ERR730615
SOUTH AFRICA 2 ERS508970 ERR736911
SOUTH AFRICA 2 ERS509038 ERR736939
SOUTH AFRICA 2 ERS509070 ERR730633
SOUTH AFRICA 2 ERS509103 ERR730649
SOUTH AFRICA 2 ERS509107 ERR730651
SOUTH AFRICA 2 ERS509120 ERR730659
SOUTH AFRICA 2 ERS566299 ERR773915
SOUTH AFRICA 2 ERS566308 ERR773924
SOUTH AFRICA 2 ERS566314 ERR773930
SOUTH AFRICA 2 ERS566321 ERR773937
SOUTH AFRICA 2 ERS566323 ERR773939
SOUTH AFRICA 2 ERS566324 ERR773940
SOUTH AFRICA 2 ERS566327 ERR773943
SOUTH AFRICA 2 ERS566333 ERR773949
SOUTH AFRICA 2 ERS566351 ERR773957
SOUTH AFRICA 2 ERS566397 ERR773970
SOUTH AFRICA 2 ERS566414 ERR773975
SOUTH AFRICA 2 ERS566437 ERR773982
SOUTH AFRICA 2 ERS566447 ERR773985
SOUTH AFRICA 2 ERS566462 ERR773990
SOUTH AFRICA 2 ERS566472 ERR773993
SOUTH AFRICA 2 ERS566481 ERR773996
SOUTH AFRICA 2 ERS566496 ERR774001
SOUTH AFRICA 2 ERS566341 ERR773817
SOUTH AFRICA 2 ERS566350 ERR773820
SOUTH AFRICA 2 ERS566362 ERR773825
SOUTH AFRICA 2 ERS566366 ERR773827
SOUTH AFRICA 2 ERS566379 ERR773832
SOUTH AFRICA 2 ERS566410 ERR773845
SOUTH AFRICA 2 ERS566412 ERR773846
SOUTH AFRICA 2 ERS566423 ERR773850
SOUTH AFRICA 2 ERS566426 ERR773851
SOUTH AFRICA 2 ERS566438 ERR773856
SOUTH AFRICA 2 ERS566454 ERR773862
SOUTH AFRICA 2 ERS566463 ERR773865
SOUTH AFRICA 2 ERS566491 ERR773875
SOUTH AFRICA 2 ERS566500 ERR773878
SOUTH AFRICA 2 ERS566508 ERR773882
SOUTH AFRICA 2 ERS566527 ERR773892
SOUTH AFRICA 2 ERS566546 ERR773901
SOUTH AFRICA 2 ERS566548 ERR773902
SOUTH AFRICA 2 ERS566554 ERR773905
SOUTH AFRICA 2 ERS566352 ERR774008
SOUTH AFRICA 2 ERS566381 ERR774015
SOUTH AFRICA 2 ERS566384 ERR774016
SOUTH AFRICA 2 ERS566399 ERR774020
SOUTH AFRICA 2 ERS566406 ERR774022
SOUTH AFRICA 2 ERS566409 ERR774023
SOUTH AFRICA 2 ERS566513 ERR774057
SOUTH AFRICA 2 ERS566549 ERR774075
SOUTH AFRICA 2 ERS566555 ERR774078
SOUTH AFRICA 2 ERS566560 ERR774080
SOUTH AFRICA 2 ERS566562 ERR774081
SOUTH AFRICA 2 ERS566566 ERR774085
SOUTH AFRICA 2 ERS566573 ERR774092
SOUTH AFRICA 2 ERS566574 ERR774093
SOUTH AFRICA 2 ERS566581 ERR774287
SOUTH AFRICA 2 ERS566582 ERR774288
SOUTH AFRICA 2 ERS566587 ERR774293
SOUTH AFRICA 2 ERS566595 ERR774301
SOUTH AFRICA 2 ERS566596 ERR774302
SOUTH AFRICA 2 ERS566609 ERR774315
SOUTH AFRICA 2 ERS566611 ERR774317
SOUTH AFRICA 2 ERS566630 ERR774336
SOUTH AFRICA 2 ERS566663 ERR774369
SOUTH AFRICA 2 ERS566667 ERR774373
SOUTH AFRICA 2 ERS566670 ERR774376
SOUTH AFRICA 2 ERS566805 ERR774134
SOUTH AFRICA 2 ERS566815 ERR774144
SOUTH AFRICA 2 ERS566875 ERR774201
SOUTH AFRICA 2 ERS566892 ERR774218
SOUTH AFRICA 2 ERS566907 ERR774233
SOUTH AFRICA 2 ERS566923 ERR774249
SOUTH AFRICA 2 ERS566931 ERR774257
SOUTH AFRICA 2 ERS566939 ERR774265
SOUTH AFRICA 2 ERS566945 ERR774271
SOUTH AFRICA 2 ERS566955 ERR774281
SOUTH AFRICA 2 ERS708212 ERR1065804
SOUTH AFRICA 2 ERS708213 ERR1065805
SOUTH AFRICA 2 ERS708298 ERR1066216
SOUTH AFRICA 2 ERS708315 ERR1066224
SOUTH AFRICA 2 ERS708328 ERR1066231
SOUTH AFRICA 2 ERS708331 ERR1066232
SOUTH AFRICA 2 ERS708390 ERR1066260
SOUTH AFRICA 2 ERS708436 ERR1066283
SOUTH AFRICA 2 ERS708465 ERR1066297
SOUTH AFRICA 2 ERS708293 ERR1066304
SOUTH AFRICA 2 ERS708318 ERR1066317
SOUTH AFRICA 2 ERS708394 ERR1066356
SOUTH AFRICA 2 ERS708458 ERR1065837
SOUTH AFRICA 2 ERS708493 ERR1065858
SOUTH AFRICA 2 ERS708571 ERR1065898
SOUTH AFRICA 2 ERS708634 ERR1065401
SOUTH AFRICA 2 ERS708533 ERR1065437
SOUTH AFRICA 2 ERS708584 ERR1065462
SOUTH AFRICA 2 ERS3781708 ERR3723521
SOUTH AFRICA 2 ERS3781716 ERR3723545
SOUTH AFRICA 2 ERS3781720 ERR3723558
SOUTH AFRICA 2 ERS3781727 ERR3723204
SOUTH AFRICA 2 ERS3781740 ERR3723255
SOUTH AFRICA 2 ERS3781753 ERR3723309
SOUTH AFRICA 2 ERS3781761 ERR3723339
SOUTH AFRICA 2 ERS3781771 ERR3723376
SOUTH AFRICA 2 ERS3781774 ERR3723388
SOUTH AFRICA 2 ERS3781776 ERR3723397
SOUTH AFRICA 2 ERS3781783 ERR3723423
SOUTH AFRICA 2 ERS3781786 ERR3723439
SOUTH AFRICA 2 ERS3781802 ERR3723519
SOUTH AFRICA 2 ERS3781813 ERR3723562
SOUTH AFRICA 2 ERS3781823 ERR3723223
SOUTH AFRICA 2 ERS3781836 ERR3723270
SOUTH AFRICA 2 ERS3781837 ERR3723274
SOUTH AFRICA 2 ERS3781839 ERR3723282
SOUTH AFRICA 2 ERS3781864 ERR3723359
SOUTH AFRICA 2 ERS3781866 ERR3723367
SOUTH AFRICA 2 ERS3781874 ERR3723400
